,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,56,26,0.683,—,111.5,105.7,5.22,1991,Boston Celtics*
1,44,38,0.537,12.0,105.4,105.6,-0.39,1991,Philadelphia 76ers*
2,39,43,0.476,17.0,103.1,103.3,-0.43,1991,New York Knicks*
3,30,52,0.366,26.0,101.4,106.4,-4.84,1991,Washington Bullets
4,26,56,0.317,30.0,102.9,107.5,-4.53,1991,New Jersey Nets
5,24,58,0.293,32.0,101.8,107.8,-5.91,1991,Miami Heat
6,61,21,0.744,—,110.0,101.0,8.57,1991,Chicago Bulls*
7,50,32,0.61,11.0,100.1,96.8,3.08,1991,Detroit Pistons*
8,48,34,0.585,13.0,106.4,104.0,2.33,1991,Milwaukee Bucks*
9,43,39,0.524,18.0,109.8,109.0,0.72,1991,Atlanta Hawks*
10,41,41,0.5,20.0,111.7,112.1,-0.37,1991,Indiana Pacers*
11,33,49,0.402,28.0,101.7,104.2,-2.33,1991,Cleveland Cavaliers
12,26,56,0.317,35.0,102.8,108.0,-4.95,1991,Charlotte Hornets
0,55,27,0.671,—,107.1,102.6,4.3,1991,San Antonio Spurs*
1,54,28,0.659,1.0,104.0,100.7,3.18,1991,Utah Jazz*
2,52,30,0.634,3.0,106.7,103.2,3.27,1991,Houston Rockets*
3,31,51,0.378,24.0,105.9,109.9,-3.79,1991,Orlando Magic
4,29,53,0.354,26.0,99.6,103.5,-3.75,1991,Minnesota Timberwolves
5,28,54,0.341,27.0,99.9,104.5,-4.27,1991,Dallas Mavericks
6,20,62,0.244,35.0,119.9,130.8,-10.31,1991,Denver Nuggets
7,63,19,0.768,—,114.7,106.0,8.47,1991,Portland Trail Blazers*
8,58,24,0.707,5.0,106.3,99.6,6.73,1991,Los Angeles Lakers*
9,55,27,0.671,8.0,114.0,107.5,6.49,1991,Phoenix Suns*
10,44,38,0.537,19.0,116.6,115.0,1.72,1991,Golden State Warriors*
11,41,41,0.5,22.0,106.6,105.4,1.31,1991,Seattle SuperSonics*
12,31,51,0.378,32.0,103.5,107.0,-3.16,1991,Los Angeles Clippers
13,25,57,0.305,38.0,96.7,103.5,-6.27,1991,Sacramento Kings
0,51,31,0.622,—,106.6,103.0,3.41,1992,Boston Celtics*
1,51,31,0.622,—,101.6,97.7,3.67,1992,New York Knicks*
2,40,42,0.488,11.0,105.4,107.1,-1.54,1992,New Jersey Nets*
3,38,44,0.463,13.0,105.0,109.2,-3.94,1992,Miami Heat*
4,35,47,0.427,16.0,101.9,103.2,-1.34,1992,Philadelphia 76ers
5,25,57,0.305,26.0,102.4,106.8,-4.35,1992,Washington Bullets
6,21,61,0.256,30.0,101.6,108.5,-6.52,1992,Orlando Magic
7,67,15,0.817,—,109.9,99.5,10.07,1992,Chicago Bulls*
